label,coordinate,node,linker,topology,Substitute,substituent,metal,CO2 content,CO2 capacity,q_m,Unitcell_volume,Density,void_fraction,AV_cm^3/g,ASA_m^2/cm^3,ASA_m^2/g,NASA_m^2/g,lcd,pld,pressure,isotherm,Sips,rmse,name_from_tobacco,CO2 utilization
8_2_1_acs,6c,8,2,acs,H,1,Fe,28.08057476838264,6.7736311,2107.9970836252164,7410.25,0.421437,0.8234,1.95379,1874.68,4448.3,0.0143423,15.21464,13.44737,"[10.0, 50.0, 100.0, 500.0, 1000.0, 5000.0, 10000.0, 20000.0, 40000.0, 60000.0, 80000.0, 100000.0, 200000.0, 400000.0, 600000.0, 800000.0, 1000000.0, 2000000.0, 4000000.0]","[0.003509, 0.009358, 0.033923, 0.169616, 0.302969, 1.702006, 3.327976, 6.379889, 13.017126, 19.436786, 26.330201, 33.211918, 67.736311, 140.982208, 225.627447, 301.788393, 393.345763, 913.455262, 1423.937609]","[1.4803998927351993, 4.0682423086170947e-07, 0.6518955195724434]",0.0427465151771746,acs_v1-6c_Fe_1_Ch_1-102_H,34.85420586838264
8_4_1_acs,6c,8,4,acs,H,1,Fe,31.06027990881437,2.6897327000000004,3871.696726709717,7708.31,0.366275,0.8538,2.33104,1589.86,4340.63,0.0,16.66732,15.50389,"[1.0, 10.0, 50.0, 100.0, 500.0, 1000.0, 5000.0, 10000.0, 20000.0, 40000.0, 60000.0, 80000.0, 100000.0, 200000.0, 400000.0, 600000.0, 800000.0, 1000000.0, 2000000.0, 4000000.0]","[0.001294, 0.001294, 0.011645, 0.028466, 0.134564, 0.267835, 1.399986, 2.559309, 5.339872, 10.769023, 15.742725, 21.237864, 26.897327, 54.345849, 113.286292, 175.83021, 254.586534, 332.941754, 839.395072, 1644.562946]","[2.354240520940034, 2.0292056362163758e-07, 0.6926532929082154]",0.0230855947935543,acs_v1-6c_Fe_1_Ch_1-103_H,33.75001260881437
8_5_1_acs,6c,8,5,acs,H,1,Fe,28.63305139882888,8.463825,1989.7398234976167,6963.65,0.439812,0.8255,1.87694,1791.18,4072.6,0.0,14.49659,12.19849,"[10.0, 50.0, 100.0, 500.0, 1000.0, 5000.0, 10000.0, 20000.0, 40000.0, 60000.0, 80000.0, 100000.0, 200000.0, 400000.0, 600000.0, 800000.0, 1000000.0, 2000000.0, 4000000.0]","[0.003578, 0.013121, 0.033398, 0.194423, 0.467569, 2.056347, 4.079297, 8.292184, 16.941009, 25.35605, 33.915416, 42.320914, 84.63825, 175.750894, 274.212235, 370.008912, 468.977183, 996.272804, 1428.974066]","[1.3924254266330522, 4.788413403548315e-07, 0.6768683242904675]",0.0473607680847887,acs_v1-6c_Fe_1_Ch_1-104_H,37.09687639882888
8_6_1_acs,6c,8,6,acs,H,1,Fe,24.6231746209366,6.145710600000001,1630.989482242591,7274.23,0.489599,0.8031,1.64032,1997.19,4079.24,0.0,13.68902,10.61878,"[1.0, 10.0, 50.0, 100.0, 500.0, 1000.0, 5000.0, 10000.0, 20000.0, 40000.0, 60000.0, 80000.0, 100000.0, 200000.0, 400000.0, 600000.0, 800000.0, 1000000.0, 2000000.0, 4000000.0]","[0.001026, 0.004103, 0.032824, 0.052313, 0.299516, 0.591851, 3.014645, 6.040572, 12.225774, 24.188959, 36.623984, 49.889856, 61.457106, 125.000564, 258.070612, 380.275014, 481.993372, 599.946089, 1015.143386, 1265.942539]","[1.2883598046487568, 6.782263804599324e-07, 0.767354535231509]",0.0469867244961369,acs_v1-6c_Fe_1_Ch_1-105_H,30.7688852209366
8_3_1_acs,6c,8,3,acs,H,1,Fe,22.36581981917883,3.2987922,27619.15226016769,14049.0,0.279088,0.8829,3.16352,1306.32,4680.68,0.0,19.1199,17.14358,"[1.0, 10.0, 50.0, 100.0, 500.0, 1000.0, 5000.0, 10000.0, 20000.0, 40000.0, 60000.0, 80000.0, 100000.0, 200000.0, 400000.0, 600000.0, 800000.0, 1000000.0, 2000000.0, 4000000.0]","[0.000932, 0.003727, 0.015839, 0.040995, 0.168638, 0.351253, 1.705019, 3.294506, 6.627213, 13.552571, 19.997169, 26.408226, 32.987922, 66.8973, 133.455459, 202.273002, 276.44039, 343.8846, 805.63911, 2009.241733]","[13.746057433781012, 3.542532212410686e-08, 0.7657798581135031]",0.0329098503507096,acs_v1-6c_Fe_1_Ch_1-106_H,25.664612019178833
8_7_1_acs,6c,8,7,acs,H,1,Fe,49.110062156160375,7.753778200000001,525.6752108826956,13131.2,1.0879,0.6848,0.629471,3099.46,2849.03,0.0,8.63214,7.11302,"[1.0, 10.0, 50.0, 100.0, 500.0, 1000.0, 5000.0, 10000.0, 20000.0, 40000.0, 60000.0, 80000.0, 100000.0, 200000.0, 400000.0, 600000.0, 800000.0, 1000000.0, 2000000.0, 4000000.0]","[0.000511, 0.008439, 0.04603, 0.088224, 0.441119, 0.92878, 4.606053, 8.802696, 17.031809, 33.130235, 48.399613, 63.484104, 77.537782, 143.773191, 260.011075, 334.706258, 374.013698, 400.134867, 457.517715, 499.671333]","[1.0520419647182273, 2.49366008710304e-06, 0.7957384829165556]",0.0365880826293757,acs_v1-6c_Fe_1_Ch_1-107_H,56.863840356160374
8_8_1_acs,6c,8,8,acs,H,1,Fe,45.545476654954896,6.644721199999999,413.9699102143253,13622.0,1.13077,0.6415,0.567311,3669.03,3244.71,0.0,7.073,5.3615,"[1.0, 10.0, 50.0, 100.0, 500.0, 1000.0, 5000.0, 10000.0, 20000.0, 40000.0, 60000.0, 80000.0, 100000.0, 200000.0, 400000.0, 600000.0, 800000.0, 1000000.0, 2000000.0, 4000000.0]","[0.000711, 0.004032, 0.032017, 0.059764, 0.294079, 0.623733, 3.020004, 5.967675, 12.306743, 24.724003, 37.833536, 51.949104, 66.447212, 123.83607, 213.214113, 265.486941, 295.631727, 312.754255, 361.723198, 394.919293]","[1.048239266989484, 2.5921691674672242e-06, 0.8129058376239686]",0.0219233301370804,acs_v1-6c_Fe_1_Ch_1-108_H,52.190197854954896
8_9_1_acs,6c,8,9,acs,H,1,Fe,42.46333461983789,5.364488000000001,539.271125277128,8855.05,0.932882,0.6784,0.727209,3350.58,3591.65,0.0,8.59369,7.07241,"[1.0, 10.0, 50.0, 100.0, 500.0, 1000.0, 5000.0, 10000.0, 20000.0, 40000.0, 60000.0, 80000.0, 100000.0, 200000.0, 400000.0, 600000.0, 800000.0, 1000000.0, 2000000.0, 4000000.0]","[0.000884, 0.004422, 0.027418, 0.050856, 0.255163, 0.545705, 2.637425, 5.434934, 10.431624, 21.377113, 32.140406, 43.153113, 53.64488, 106.886009, 200.219618, 275.213309, 330.575345, 361.557566, 446.909031, 495.179561]","[1.089041567442902, 1.727164865277134e-06, 0.7846791438381973]",0.0261462081821594,acs_v1-6c_Fe_1_Ch_1-109_H,47.82782261983789
8_10_1_acs,6c,8,10,acs,H,1,Fe,39.77190057250787,7.1370859,723.7039590794499,5465.4,0.806869,0.7149,0.886017,3152.18,3906.69,0.0,9.71456,8.99071,"[10.0, 50.0, 100.0, 500.0, 1000.0, 5000.0, 10000.0, 20000.0, 40000.0, 60000.0, 80000.0, 100000.0, 200000.0, 400000.0, 600000.0, 800000.0, 1000000.0, 2000000.0, 4000000.0]","[0.002485, 0.019053, 0.038934, 0.174791, 0.394314, 1.859738, 3.596874, 7.383449, 15.190207, 21.792483, 28.809784, 37.0034, 71.370859, 134.974724, 189.607113, 241.118954, 296.075244, 444.886583, 554.006394]","[1.3063097590881774, 7.135646726136214e-07, 0.8606530479623963]",0.0316802140791863,acs_v1-6c_Fe_1_Ch_1-110_H,46.90898647250787
8_11_1_acs,6c,8,11,acs,H,1,Fe,37.401310477874,11.910223700000001,1639.4413576100526,4889.57,0.479528,0.8145,1.69854,2010.65,4192.97,0.0,13.26584,12.29962,"[50.0, 100.0, 500.0, 1000.0, 5000.0, 10000.0, 20000.0, 40000.0, 60000.0, 80000.0, 100000.0, 200000.0, 400000.0, 600000.0, 800000.0, 1000000.0, 2000000.0, 4000000.0]","[0.017138, 0.028045, 0.133991, 0.239937, 1.422484, 2.76395, 5.552828, 11.032428, 16.287672, 22.443458, 28.035237, 58.220559, 119.102237, 187.87535, 261.975376, 353.045493, 780.195686, 1178.843232]","[1.3907204224505847, 4.5746686065001713e-07, 0.6324689761007037]",0.0395677675386603,acs_v1-6c_Fe_1_Ch_1-111_H,49.311534177874
